run_name,best_val_is_bps,ckpt,csv,batch_size_chunks,chunk_len,clip_eps,ent_coef,gamma,horizon_steps,lam,lr,max_child_qty,patience,pov_cap,ppo_epochs,rollout_episodes,seed,side,taker_fee_rate,target_qty,val_seed
DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,0.7984572155999777,checkpoints/DOGE/DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.01,0.99,4320,0.95,0.0003,3500.0,20,0.1,8,16,3,buy,0.0,3000000.0,999
DOGE_S2B2_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.9_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984572529726577,checkpoints/DOGE/DOGE_S2B2_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.9_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_S2B2_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.9_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.005,0.999,4320,0.9,0.0003,3500.0,20,0.1,4,16,2,buy,0.0,3000000.0,999
DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984604527276187,checkpoints/DOGE/DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.01,0.99,4320,0.95,0.0003,3500.0,20,0.1,8,16,2,buy,0.0,3000000.0,999
DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984609584650907,checkpoints/DOGE/DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.01,0.99,4320,0.9,0.0003,3500.0,20,0.1,8,16,2,buy,0.0,3000000.0,999
DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.9_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984614935726942,checkpoints/DOGE/DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.9_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.9_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.01,0.999,4320,0.9,0.0003,3500.0,20,0.1,8,16,2,buy,0.0,3000000.0,999
DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,0.7984615175786459,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.01,0.999,4320,0.95,0.0003,3500.0,20,0.1,4,16,3,buy,0.0,3000000.0,999
DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed3_H4320_Q3e+06_pov0.1_fee0,0.7984619902496423,checkpoints/DOGE/DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed3_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed3_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.01,0.995,4320,0.9,0.0003,3500.0,20,0.1,8,16,3,buy,0.0,3000000.0,999
DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.99_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984620215474786,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.99_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.99_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.01,0.99,4320,0.95,0.0003,3500.0,20,0.1,4,16,2,buy,0.0,3000000.0,999
DOGE_S2B2_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,0.7984654868874156,checkpoints/DOGE/DOGE_S2B2_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_S2B2_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.005,0.999,4320,0.95,0.0003,3500.0,20,0.1,4,16,3,buy,0.0,3000000.0,999
DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984671713189491,checkpoints/DOGE/DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.01,0.995,4320,0.95,0.0003,3500.0,20,0.1,8,16,2,buy,0.0,3000000.0,999
DOGE_S2B2_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.9_seed3_H4320_Q3e+06_pov0.1_fee0,0.7984726856817502,checkpoints/DOGE/DOGE_S2B2_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.9_seed3_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_S2B2_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.9_seed3_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.005,0.999,4320,0.9,0.0003,3500.0,20,0.1,4,16,3,buy,0.0,3000000.0,999
DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.9_seed3_H4320_Q3e+06_pov0.1_fee0,0.7984764055929261,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.9_seed3_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.9_seed3_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.01,0.995,4320,0.9,0.0003,3500.0,20,0.1,4,16,3,buy,0.0,3000000.0,999
DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984826538832865,checkpoints/DOGE/DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_S2B3_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.01,0.995,4320,0.9,0.0003,3500.0,20,0.1,8,16,2,buy,0.0,3000000.0,999
DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.9_seed2_H4320_Q3e+06_pov0.1_fee0,0.7984857059410551,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.9_seed2_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,logs/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.9_seed2_H4320_Q3e+06_pov0.1_fee0.csv,16,32,0.2,0.01,0.999,4320,0.9,0.0003,3500.0,20,0.1,4,16,2,buy,0.0,3000000.0,999
